Paper Boxes	8142, “Paver”	9134, “Boxer”	8129, “Lapper, paper”
Vest Maker	5419, “Maker, marker”	9249, “Macer”	5224, “Maker, meter”
Boot Black	8139, “Blacker”	5211, “Blacksmith”	5413, “Ironer, boot”
Cigar Packer	9134, “Packer”	8133, “Passer, cigar”	8111, “Maker, cigar”
Architect	2431, “Architect”	2452, “Archivist”	1259, “Manager, architect”
Weaver	5411, “Weaver”	5414, “Webber”	9119, “Weeder”
Works In Laundry	9234, “Worker, laundry”	9234, “Laundress”	9234, “Launderer”
Messenger	9211, “Messenger”	9119, “Musseler”	9211, “Messenger, chief”
Lives At Home	8125, “Honer”	5249, “Linesman”	6144, “Leader, home, nursing home”
Collector	7122, “Collector-agent”	7121, “Collector-salesman”	3561, “Collector, regional”
Carriage Maker	5419, “Maker, marker”	5449, “Maker, cartridge”	8114, “Maker, carmine”
Paper Hanger	5323, “Hanger, paper”	9260, “Hanger-on”	8142, “Paver”
Express	3536, “Exporter”		
Carpet Mill	5315, “Carpenter”	5414, “Milliner”	6145, “Carer”
Shoe Fitter	5315, “Fitter, shop”	8119, “Fritter”	5413, “Cutter, shoe”
Housewife	6144, “Houseparent”	9233, “Housemaid”	
Wheelwright	5442, “Wheelwright”	5442, “Wheeler, wheelwrights”	9139, “Wheeler-in”
Brush Maker	5449, “Maker, brush”	5221, “Maker, bush”	5419, “Maker, marker”
Fresco Painter	5323, “Painter”	8114, “Tinter, paint”	5421, “Printer-down”
Att. School	1225, “Manager, school, riding school”	2314, “Master, school, secondary school”	2314, “Mistress, school, secondary school”
Clerk In Bank	4123, “Clerk, bank”	4159, “Clerk”	4123, “Clerk, banking, bank”
Fringe Maker	5411, “Fringer”	5419, “Maker, marker”	9249, “Macer”
Black Smith	5211, “Smith”	5211, “Smither”	8139, “Blacker”
Wood Turner	8121, “Turner, wood”	5221, “Turner”	9112, “Woodman”
Domestic Ser	9233, “Domestic”	2231, “SEN”	8137, “Sewer, seam”
Tobacco Stripper	1254, “Tobacconist”	8113, “Snipper”	8111, “Stripper, tobacco mfr”
Clerk In Dry Goods	4133, “Clerk, in, goods”	4159, “Clerk”	4133, “Clerk, goods-in”
Cigarette Maker	8111, “Maker, cigarette”	5419, “Maker, marker”	9249, “Macer”
Pocket Book Maker	5423, “Maker, book, pocket”	5419, “Maker, marker”	5413, “Maker, boot”
Express Driver	8212, “Driver”	9119, “Drover”	8212, “Driver, delivery”
Keeper Of House	6231, “Keeper, house”	6139, “Keeper, horse”	8123, “Keeker”
Marble Polisher	5312, “Polisher, marble”	1259, “Publisher”	3311, “Marine”
Fruit Dealer	5112, “Fruitman”	1254, “Fruiterer”	3239, “Healer”
Beer Saloon	8111, “Brewer”	2129, “Brewer, brewery”	8111, “Brewer, beer, ginger”
Works In Bakery	5432, “Baker”	8111, “Worker, bakery”	9139, “Worker, battery”
Bookeeper	4122, “Bookkeeper”	5119, “Beekeeper”	4122, “Bookkeeper-typist”
Bakery	5432, “Baker”	1131, “Banker”	8114, “Bater”
Dyer	8114, “Dyer”	2129, “Dyer, technical”	8114, “Dyer, beam”
News Dealer	3239, “Healer”	8113, “Dewer”	8113, “Degger”
Sister Of Charity	2231, “Sister”	9279, “Sitter”	2231, “Sister-tutor”
Lace Maker	5411, “Maker, lace”	5419, “Maker, marker”	8121, “Maker, label”
Civil Engineer	5319, “Engineer, civil”	2121, “Engineer, incorporated, civil engineering”	5223, “Engineer-fitter”
Help	9139, “Helper-up”	6122, “Help, mother's”	6125, “Help, school”
Dry Goods Merchant	7130, “Manager, goods, dry”	7125, “Merchandiser”	5223, “Mechanic”
D. Servant	9233, “Servant”	3312, “Sergeant”	3311, “Sergeant-Major”
Keeping			
