Editor	2471, “Editor”	3412, “Editor-in-chief”	3239, “Mediator”
Real Estate Broker	9119, “Worker, estate”	5319, “Dealer, estate”	2444, “Brother”
Cigar Dealer	3239, “Healer”	8113, “Dewer”	8113, “Degger”
Rigger	8141, “Rigger”	8113, “Ligger”	3550, “Ranger”
Coat Tailor	5414, “Tailor”	5414, “Tailoress”	5313, “Tiler”
Hack Driver	8212, “Driver”	9119, “Drover”	8212, “Driver, delivery”
Stevedore	9260, “Stevedore”	9260, “Assistant, stevedore”	9260, “Stevedore, superintendent”
R.R. Clerk	4159, “Clerk”	4131, “Clerk-buyer”	4159, “Clerk-typist”
Janitress	9273, “Waitress”	6232, “Janitor”	
Steward	6219, “Steward”	1221, “Steward, college”	1221, “Steward, hostel”
Brass Moulder	5212, “Moulder, brass”	8114, “Muller”	8115, “Moulder, rubber, MOULDS”
Tin Roofer	5313, “Roofer”	9134, “Roper”	5213, “Tinker”
Servant Domestic	9233, “Servant, domestic”	9233, “Domestic”	9233, “Servant”
House	9233, “Housemaid”	6144, “Houseparent”	1254, “Hosier”
Grocers Clerk	4159, “Clerk”	1254, “Grocer”	4133, “Clerk, progress”
Liquors	8114, “Blender, liquor”		
Turner	5221, “Turner”	3314, “Turnkey”	5223, “Turner-fitter”
Shirt Cutter	5414, “Cutter, shirt”	8129, “Cutler”	5441, “Cutter, stilt”
Dry Goods Salesman	8134, “Scalesman”	8134, “Scaleman”	3541, “Salesman-buyer”
Stair Builder	5319, “Builder”	5315, “Builder, staircase”	6240, “Butler”
Segar Store	9260, “Storer”	9260, “Storeman”	8134, “Sorter, stores”
Sewing Machine Operator	8137, “Machinist, sewing”	5223, “Mechanic, machine, sewing”	8126, “Operator, sewage”
Domestic Servt.	9233, “Domestic”	9233, “Servant, domestic”	9233, “Servant”
Oyster Dealer	3239, “Healer”	8222, “Hyster”	6139, “Ostler”
Works In Hotel	9279, “Worker, hotel”	9279, “Worker, hostel”	1221, “Hotelier”
Segar Packer	9134, “Packer”	8119, “Packer, sagger”	9260, “Racker”
Basket Maker	5449, “Maker, basket”	5419, “Maker, marker”	5449, “Maker, gasket”
Traveling Agent	6212, “Agent, travel”	3563, “Agent, training”	2129, “Agent, patent”
House Wife	9233, “Housemaid”	6144, “Houseparent”	9273, “Waiter, wine”
Gold Beater	5449, “Beater, gold”	8114, “Bater”	8113, “Beater, feather”
Coat Finisher	8137, “Finisher, coat”	5232, “Finisher, coach”	8125, “Linisher”
Cloth Cutter	8113, “Cutler, cloth”	5414, “Cutter, clothing”	5414, “Cutter, clothier's”
Tanner	8114, “Tanner”	9134, “Canner”	3563, “Trainer”
Fish Dealer	5433, “Dealer, fish”	5433, “Header, fish”	1254, “Retailer, fish”
Clothing Store	9260, “Storer”	9260, “Storeman”	8134, “Sorter, stores”
Works In Shoe Factory	5413, “Worker, shoe”	9139, “Worker, factory”	5413, “Worker, shoeroom”
Journalist	2471, “Journalist”	2471, “Journalist, broadcast”	2471, “Journalist, broadcasting”
Minister	8125, “Linisher”	1116, “Minister, government”	8111, “Maltster”
Frame Maker	5419, “Maker, marker”	9249, “Macer”	5224, “Maker, meter”
Glazier	5316, “Glazier”	5441, “Glazier, lens”	5441, “Glazier, optical”
Silk Winder	8113, “Twinder”	8113, “Winder, silk, raw”	9139, “Worker, silk”
Pattern Maker	5419, “Maker, marker”	5441, “Maker, pottery”	9249, “Macer”
House Servant	9233, “Servant”	3312, “Sergeant”	9233, “Housemaid”
Works At Flowers	8129, “Worksetter”	5322, “Floorer”	1121, “Manager, works”
Clerk In Hotel	4159, “Clerk”	1221, “Hotelier”	4133, “Clerk, in, goods”
In School	1225, “Manager, school, riding school”	2314, “Master, school, secondary school”	2314, “Mistress, school, secondary school”
Book Sewer	7111, “Seller, book”	8126, “Sewerman”	8121, “Sawyer”
Dry Good Clerk	4159, “Clerk”	4133, “Clerk, goods-in”	4131, “Clerk-buyer”
Asst.	2113, “Assistant, meteorological”	2129, “Assistant, assay”	2129, “Assistant, assayer's”
Auctioneer	3544, “Auctioneer”	9139, “Acetoner”	1251, “Manager, auctioneers”
Stage Driver	8212, “Driver”	9119, “Drover”	8212, “Driver, delivery”
Junkman	9139, “Jackman”	8111, “Juiceman”	
Works In Iron Foundry	9139, “Worker, foundry”	9234, “Ironer”	5223, “Fitter, iron foundry”
Prostitute	2219, “Prosthetist”	4123, “Postmaster”	
